I tê	You're small
Kan chunga LALPA a lawm chuan chu ramah chuan min hruai ang a, min pe ang; hnutetui leh khawizu luanna ram chu.	And if the Lord has delight in us, he will take us into this land and give it to us, a land flowing with milk and honey.
Aigupta-ho tan luin emaw, meiin emaw, tum kauvin emaw, phungladinin emaw thawhsak theih a awm tawh hek lo vang.	And in Egypt there will be no work for any man, head or tail, high or low, to do.
Jakoba chu Aram ramah a tlanbo va, Israela chuan nupui man a tuak ta a, Nupui man atân chuan berâm a veng a ni.	And Jacob went in flight into the field of Aram, and Israel became a servant for a wife, and for a wife he kept sheep.
Tin, Isua chu a zirtirte nen dil lamah chuan an kal bo va; tin, Galili ram atangin mipui tam takin an zui ta a.	And Jesus went away with his disciples to the sea, and a great number from Galilee came after him: and from Judaea,
Omria chuan LALPA mithmuhin thil tha lo tak a ti thin a, a hmaa mite zawng zawng aiin thil a tisual nasa bik a,	And Omri did evil in the eyes of the Lord, even worse than all those before him,
Tin, Saula fapa Jonathana chu a tho va, ramhnuaiah Davida hnênah chuan a kal a, Pathianah a kut a tihchaksak a.	And Saul's son Jonathan went to David in Horesh, and made his hands strong in God;
Tichuan lal hnênah, I thiltihte leh i finziate keima rama ka lo hriat kha thuthang dik tak a lo nih ngei hi le.	And she said to the king, The account which was given to me in my country of your acts and your wisdom was true.
khum ropui takah i lo țhu a, a hmâah dawhkan i buatsaih a, ka rimtui leh ka hriakte tah chuan i hlui țhin a ni.	And she took her seat on a great bed, with a table put ready before it on which she put my perfume and my oil.
Fapa a hring anga a hmingah ISUA i sa ang: ani chuan a mite an thil tihsual lakah a chhandam dawn si a, a ti a.	And she will give birth to a son; and you will give him the name Jesus; for he will give his people salvation from their sins.
Tin, Simeia chuan lal hnênah, A dik alawm: lalpa ka puin a sawi ang chuan i chhiahhlawhin a ti zel ang, a ti a.	And Shimei said to the king, Very well! as my lord the king has said, so will your servant do. And for a long time Shimei went on living in Jerusalem.
Chutichuan, dawt sawi banin, mahni thenawm hnenah thu dik tak sawi theuh rawh u; inpeng tawn theuh kan ni si a.	And so, putting away false words, let everyone say what is true to his neighbour: for we are parts one of another.
Tin, hunchhan siam dan chu hetiang hi a ni: chung chuan khuar a nei a, a khuarte chu a tlangte inkarah a awm a:	And the bases were made in this way; their sides were square, fixed in a framework;
Tin, LALPA chu Arona chu tiboral duh hial khawpin a thinur a; nimahsela Arona pawh ka țawngțaisak nghal bawk a.	And the Lord, in his wrath, would have put Aaron to death: and I made prayer for Aaron at the same time.
Tin, Benjamina thlahte chu Abnera hnênah an pung khawm a, pawl khatah an insiam a, tlâng chhipah an va ding t .	And the men of Benjamin came together after Abner in one band, and took their places on the top of a hill.
Tin, vantlangho chuan Zakaria chu an lo nghak a, Pathian biak in chhunga a awm rei avang chuan mak an ti hle a.	And the people were waiting for Zacharias and were surprised because he was in the Temple for such a long time.
Mi tete chu tihhniamin an awm a, mi liante chu tihlawmin an awm bawk a: chuvângin anni chu ngaidam suh ang che.	And the poor man's head is bent, and the great man goes down on his face: for this cause there will be no forgiveness for their sin.
Tin, englo rimtui khu chu vantirhkoh kut ata Pathian hmaah a chho ta a, mi thianghlimho tawngtainate nen chuan.	And the smoke of the perfume, with the prayers of the saints, went up before God out of the angel's hand.
tin, anmahniho chhuanah chuan unau 956 an ni. Chung zawng zawngte chu an hnam zinga an chhûngkaw puipate an ni.	And their brothers, in the list of their generations, nine hundred and fifty-six. All these men were heads of families, listed by the names of their fathers.
Tichuan, chu thu chu an vawng reng a, Mitthi zing ata thawhleh chu eng tihna nge ni ang? tiin an inzawt thin a.	And they kept the saying, questioning among themselves what the coming back from the dead might be.
Tin, heng hi a zat chin chu a ni: rangkachak maihûn sawmthum, tangkaraw maihûn sâng, chemte sawmhnih leh pakua;	And this is the number of them: there were thirty gold plates, a thousand silver plates, twenty-nine knives,
Zion tlângah chuan Esauva tlâng rêlsak tûra chhan chhuaktute an lo chho vang a; tin, ram chu LALPA ta a ni ang.	And those who have been kept safe will come up from Mount Zion to be judges of the mountain of Esau; and the kingdom will be the Lord's.
zanah muhilin chhunah tho thin sela, chi chu, a zia a hriat lohvin, lo tiakin lo thang sela; chutiang chu a ni.	And went to sleep and got up, night and day, and the seed came to growth, though he had no idea how.
Tin, ani chuan hnathawktute nen chuan ni khata duli hlawha an inrem veleh a grep huanah chuan a tir ta hlawm a.	And when he had made an agreement with the workmen for a penny a day, he sent them into his vine-garden.
Tin, Damasaka-a Suria mite Zoba lal Hadadezera chan tûra kalte chu Davidan Suria mite zinga mi 22,000 a that a.	And when the Aramaeans of Damascus came to the help of Hadadezer, king of Zobah, David put to the sword twenty-two thousand of the Aramaeans.
Tin, thu dang tam takin a hrilhfiah a; Tun lai thangthar bengtla lote lakah hian intihim rawh u, tiin a fuih a.	And with more such words he gave his witness, offering them salvation and saying, Come out from this evil generation.
Aw LALPA, ka hmêlmate avângin hian i felna avâng chuan mi hruai la; I kawng chu ka hmaah hian titluang ang che.	Be my guide, O Lord, in the ways of your righteousness, because of those who are against me; make your way straight before my face.
A in ngaihtuaha, a bawhchhiatna a lo tih tawh zawng zawng chu a hawisan avângin a nung ngei ang, a thi lo vang.	Because he had fear and was turned away from all the wrong which he had done, life will certainly be his, death will not be his fate.
Heti hian ziak a ni si a: Abrahaman fapa pahnih a nei a, pakhat chu bawihnu lakah, pakhat chu bawih lonu lakah.	Because it is in the Writings, that Abraham had two sons, one by the servant-woman, and one by the free woman.
Nimahsela thu ngaithlahote zinga tam takin an awih a; an tam lam pawh patling hlir pawh sangnga lai an tling a.	But a number of those who gave hearing to the word had faith; and they were now about five thousand.
Nimahsela a unaute chu kutnaa an chhoh tak hnu chuan ani pawh vantlang hriat lohvin, aruk angin a han kal ve a.	But after his brothers had gone up to the feast, then he went up, not publicly, but in secret.
Nimahsela, thu ngaithlatute mai ni lovin zawmtute lo ni zawk rawh u, chutilochu mahni inbum in lo ni dah ang e.	But be doers of the word, and not only hearers of it, blinding yourselves with false ideas.
Fa zawng zawng hlawh thin thununna chu hlawh lova in awm erawh chuan fa tak ni lovin, sawn in ni a ni ang asin.	But if you have not that punishment of which we all have our part, then you are not true sons, but children of shame.
Tunah erawh chuan Krista Isuaah, nangni hmana hla taka awmte kha Krista thisen chuan tihhnaihin in lo awm ta a.	But now in Christ Jesus you who at one time were far off are made near in the blood of Christ.
nimahsela tunah chuan kan thling a ro zo ta, engmah reng reng beisei tur a awm lo, mana mai lo hi chu, an ti a.	But now our soul is wasted away; there is nothing at all: we have nothing but this manna before our eyes.
Nimahsela Paula farnua fapain an chan thu chu a lo hria a, kulhbingah chuan a va lut a, Paula chu a va hrilh a.	But Paul's sister's son had word of their design, and he came into the army building and gave news of it to Paul.
Thisen eraw chu ei lo turin fimkhur rawh u; thisen chu nunna a ni si a; nunna chawpin sa chu in ei tur a ni lo.	But see that you do not take the blood for food; for the blood is the life; and you may not make use of the life as food with the flesh.
Tin, chu mi thusawi avang chuan a mangang ta em em a, Engtiziaa chibai mi buk nge ni ang? tiin a inngaihtuah a.	But she was greatly troubled at his words, and said to herself, What may be the purpose of these words?
Lawng erawh chu dil lai takah a awm tawh a; thliin a ni lozawngin a nem avangin tuifawnin a vawrh a vawrh ta a.	But the boat was now in the middle of the sea, and was troubled by the waves: for the wind was against them.
Nimahsela a pasal tur chu an hnen ata hruai bo nite a la thleng ang a, chu mi niah erawh chuan an la nghei ang.	But the days will come when the husband will be taken away from them, and then they will go without food.
Nimahsela mite chuan anmahni vawtu lam chu an hawi chuang si lo va, sipaihote LALPA chu an zawng chuang hek lo.	But the heart of the people was not turned to him who sent punishment on them, and they made no prayer to the Lord of armies.
Nimahsela anni chuan amah chu dil chunga kea a kal an han hmuh chuan hmuithla emaw an ti a, an au ta vak mai a,	But they, when they saw him walking on the sea, took him for a spirit, and gave a loud cry:
Anmahni rin ang bawk hian keini pawhin Lalpa Isua khawngaihna avanga chhandam tur niin kan inring si a, a ti a.	But we have faith that we will get salvation through the grace of the Lord Jesus in the same way as they.
Tin, mipuite chuan chu chu an hmuhin, an hlau va, mihringte hnena chutiang thuneihna petu Pathian chu an fak a.	But when the people saw it they were full of fear, and gave glory to God who had given such authority to men.
Nimahsela,duh takte u, nangni zawngin kan Lalpa Isua Krista tirhkohten thu an hrilh lawkte kha hre reng rawh u.	But you, my loved ones, keep in memory the words which were said before by the Apostles of our Lord Jesus Christ,
Tuin nge LALPA thlarau chu thil tih dan tûr kawhhmuh le? A nih loh leh tunge a remruatsaktu nia amah zirtir le?	By whom has the spirit of the Lord been guided, or who has been his teacher?
I thlai thar hmasa ber leh i uain tui tla hmasa ber chu i hlân var tûr a ni. I fapa upa ber chu mi pe tûr a ni.	Do not keep back your offerings from the wealth of your grain and your vines. The first of your sons you are to give to me.
Ui chuan mi hual vêl si a: Thil tha lo titu awm khawmte chuan mi hual tlat a; Ka kut leh ka kete hi a tipawp a.	Dogs have come round me: I am shut in by the band of evil-doers; they made wounds in my hands and feet.
Ani chuan a hmasa berin ama unau Simona a hmu a, a hnenah, Messia kan hmu ta, a ti a chu chu Krista tihna a ni.	Early in the morning he came across his brother and said to him, We have made discovery! It is the Messiah! (which is to say, the Christ.
berâm rualte leh bâwng rualte a nei a, chhungte tam tak a nei bawk a: tichuan Philistin-ho chuan an îtsîk ta a.	For he had great wealth of flocks and herds and great numbers of servants; so that the Philistines were full of envy.
Ni sarih chhûng chu chhang dawidim telh loh in ei tûr a ni a, tin, a ni sarih nî chu LALPA tân kût nî a ni ang.	For seven days let your food be unleavened cakes; and on the seventh day there is to be a feast to the Lord.
Pathian ram chu ei leh in lam thu a ni si lo va, felna te, remna te, Thlarau Thianghlima lawmna te a ni zawk e.	For the kingdom of God is not food and drink, but righteousness and peace and joy in the Holy Spirit.
Chuvângin ngai teh, i kawng chu hlîngin ka ping ang a, A mah dâlin dai ka theu vang a, A kawngte a hmu lo vang.	For this cause I will put thorns in her road, building up a wall round her so that she may not go on her way.
A chhuat ațngin kawngka chung thlengin cherub leh tûm thinga chei vek a ni; in pui bang chu chuti vek chu a ni.	From earth level up to the windows there were winged ones and palm-trees pictured on the wall.
Ka thinlung a chauh laiin kawlkil atang hian ka ko vang che: Lungpui ka aia sâng zawkah chuan mi hruai ang che.	From the end of the earth will I send up my cry to you, when my heart is overcome: take me to the rock which is over-high for me.
LALPA i Pathian chuan kawnga a hruai lai che a, I tlân bosan avângin, Chu chu i chunga i thlentîr a ni lâwm ni?	Has not this come on you because you have given up the Lord your God, who was your guide by the way?
